program_normalized_name	course_suffix	offerings_count
BACHELOR OF ENVIRONMENTAL SCIENCE	213	20
BACHELOR OF ENVIRONMENTAL STUDIES	229	2
BACHELOR OF ENVIRONMENTAL STUDIES (COMMUNITY DEVELOPMENT)	228	3
BACHELOR OF ENVIRONMENTAL STUDIES (EARTH SCIENCES)	339	1
BACHELOR OF ENVIRONMENTAL STUDIES (ENVIRONMENTAL RESOURCE CONSERVATION)	686	1
BACHELOR OF ENVIRONMENTAL STUDIES (ENVIRONMENTAL RESOURCE CONSERVATION)	986	1
BACHELOR OF FILM AND ANIMATION STUDIES	679	2
BACHELOR OF HEALTH SERVICES MANAGEMENT	643	1
BACHELOR OF HOSPITALITY AND TOURISM MANAGEMENT	221	11
BACHELOR OF HOTEL & HOSPITALITY MANAGEMENT	222	8
BACHELOR OF HOTEL MANAGEMENT	387	3
BACHELOR OF HUMAN RESOURCE MANAGEMENT	189	17
BACHELOR OF INDUSTRIAL TECHNOLOGY	753	1
BACHELOR OF INFORMATION COMMUNICATION TECHNOLOGY	158	6
BACHELOR OF INFORMATION SCIENCE	369	2
BACHELOR OF INFORMATION SCIENCE	769	1
BACHELOR OF INFORMATION TECHNOLOGY	232	30
BACHELOR OF INFORMATION TECHNOLOGY	236	4
BACHELOR OF INTERNATIONAL TOURISM MANAGEMENT	235	1
BACHELOR OF JOURNALISM	183	3
BACHELOR OF JOURNALISM & MASS COMMUNICATION	181	7
BACHELOR OF JUSTICE AND PEACE	652	1
BACHELOR OF LANDSCAPE ARCHITECTURE	353	1
BACHELOR OF LAWS (LL.B.)	134	18
BACHELOR OF LIBRARY & INFORMATION SCIENCE	233	10
BACHELOR OF LOGISTICS AND SUPPLY CHAIN MANAGEMENT	248	1
BACHELOR OF MANAGEMENT AND OFFICE ADMINISTRATION	975	1
BACHELOR OF MEDICINE & BACHELOR OF SURGERY	131	13
BACHELOR OF MUSIC	160	3
BACHELOR OF MUSIC (TECHNOLOGY)	661	2
BACHELOR OF MUSIC IN MUSIC EDUCATION	167	1
BACHELOR OF PHARMACY	129	8
BACHELOR OF PHILOSOPHY IN TECHNOLOGY (SURVEYING TECHNOLOGY)	538	1
BACHELOR OF PROCUREMENT AND LOGISTICS MANAGEMENT	250	7
BACHELOR OF PROCUREMENT AND SUPPLY CHAIN MANAGEMENT	249	7
BACHELOR OF PROJECT PLANNING AND MANAGEMENT	327	12
BACHELOR OF PSYCHOLOGY	238	4
BACHELOR OF PUBLIC POLICY AND ADMINISTRATION	659	3
BACHELOR OF PURCHASING & SUPPLIES MANAGEMENT	247	8
BACHELOR OF PURCHASING AND SUPPLY CHAIN MANAGEMENT	255	2
BACHELOR OF QUANTITY SURVEYING	103	4
BACHELOR OF RADIOGRAPHY	562	1
BACHELOR OF REAL ESTATE	300	4
BACHELOR OF SCIENCE	120	18
BACHELOR OF SCIENCE ( AGRICULTURAL ECONOMICS AND RESOURCE MANAGEMENT)	215	10
BACHELOR OF SCIENCE ( AGRICULTURAL ECONOMICS, WITH IT)	216	8
BACHELOR OF SCIENCE ( APPLIED STATISTICS WITH COMPUTING)	164	10
BACHELOR OF SCIENCE ( BIO-RESOURCES MANAGEMENT AND CONSERVATION)	547	1
BACHELOR OF SCIENCE ( ENVIRONMENTAL CHEMISTRY)	574	1
BACHELOR OF SCIENCE ( ENVIRONMENTAL SCIENCE AND RESOURCE MANAGEMENT )	786	1
BACHELOR OF SCIENCE ( SUSTAINABLE ENERGY & CLIMATE CHANGE SYSTEMS)	590	4
BACHELOR OF SCIENCE (ACCOUNTANCY)	466	3
BACHELOR OF SCIENCE (AGRI BUSINESS MANAGEMENT)	187	9
BACHELOR OF SCIENCE (AGRIBUSINESS MANAGEMENT)	187	5
BACHELOR OF SCIENCE (AGRICULTURAL BIOTECHNOLOGY)	594	6
BACHELOR OF SCIENCE (AGRICULTURAL ECONOMICS AND RURAL DEVELOPMENT)	615	1
BACHELOR OF SCIENCE (AGRICULTURAL EDUCATION AND EXTENSION)	416	1
BACHELOR OF SCIENCE (AGRICULTURAL EDUCATION AND EXTENSION)	615	1
BACHELOR OF SCIENCE (AGRICULTURAL EXTENSION EDUCATION)	415	8
BACHELOR OF SCIENCE (AGRICULTURE & HUMAN ECOLOGY EXTENSION)	346	2
BACHELOR OF SCIENCE (AGRICULTURE)	122	18
BACHELOR OF SCIENCE (AGROFORESTRY & RURAL DEVELOPMENT)	175	2
BACHELOR OF SCIENCE (AGRONOMY, WITH IT)	593	2
BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY WITH MANAGEMENT)	114	12
BACHELOR OF SCIENCE (ANIMAL HEALTH & PRODUCTION)	294	2
BACHELOR OF SCIENCE (ANIMAL HEALTH, PRODUCTION & PROCESSING)	290	3
BACHELOR OF SCIENCE (ANIMAL PRODUCTION & HEALTH MANAGEMENT)	291	1
BACHELOR OF SCIENCE (ANIMAL PRODUCTION & HEALTH MANAGEMENT)	294	1
BACHELOR OF SCIENCE (ANIMAL SCIENCE & MANAGEMENT)	293	9
BACHELOR OF SCIENCE (APPAREL & FASHION TECHNOLOGY)	217	9
BACHELOR OF SCIENCE (APPLIED AQUATIC SCIENCE)	347	2
BACHELOR OF SCIENCE (APPLIED BIOENGINEERING)	563	1
BACHELOR OF SCIENCE (APPLIED BIOLOGY)	477	2
BACHELOR OF SCIENCE (APPLIED COMPUTER SCIENCE)	388	5
BACHELOR OF SCIENCE (APPLIED STATISTICS, WITH IT)	061	1
BACHELOR OF SCIENCE (APPLIED STATISTICS, WITH IT)	164	4
BACHELOR OF SCIENCE (APPLIED STATISTICS, WITH IT)	361	1
BACHELOR OF SCIENCE (APPLIED STATISTICS, WITH IT)	561	1
BACHELOR OF SCIENCE (APPLIED STATISTICS, WITH IT)	761	1
BACHELOR OF SCIENCE (APPLIED STATISTICS, WITH IT)	961	1
BACHELOR OF SCIENCE (ASTRONOMY AND ASTROPHYSICS)	127	1
BACHELOR OF SCIENCE (BIOCHEMISTRY	112	18
BACHELOR OF SCIENCE (BIOCHEMISTRY AND MOLECULAR BIOLOGY)	437	2
BACHELOR OF SCIENCE (BIOLOGY)	111	14
BACHELOR OF SCIENCE (BIOMEDICAL ENGINEERING)	696	2
BACHELOR OF SCIENCE (BIOMEDICAL SCIENCE AND TECHNOLOGY)	195	6
BACHELOR OF SCIENCE (BIOSTATISTICS)	638	1
BACHELOR OF SCIENCE (BIOTECHNOLOGY)	226	6
BACHELOR OF SCIENCE (BOTANY)	462	2
BACHELOR OF SCIENCE (BUSINESS COMPUTING)	536	1
BACHELOR OF SCIENCE (CHEMISTRY)	513	14
BACHELOR OF SCIENCE (COASTAL & MARINE RESOURCE MANAGEMENT	565	3
BACHELOR OF SCIENCE (COMMUNITY DEVELOPMENT AND ENVIRONMENT)	243	1
BACHELOR OF SCIENCE (COMMUNITY DEVELOPMENT)	239	5
BACHELOR OF SCIENCE (COMMUNITY HEALTH & DEVELOPMENT)	423	16
BACHELOR OF SCIENCE (COMMUNITY RESOURCE MANAGEMENT)	986	2
BACHELOR OF SCIENCE (COMPUTER SCIENCE	115	48
BACHELOR OF SCIENCE (COMPUTER SECURITY AND FORENSICS)	511	9
BACHELOR OF SCIENCE (COMPUTER TECHNOLOGY)	208	5
BACHELOR OF SCIENCE (CONSERVATION BIOLOGY)	611	1
BACHELOR OF SCIENCE (CONTROL AND INSTRUMENTATION)	231	1
BACHELOR OF SCIENCE (CORPORATE COMMUNICATION AND MANAGEMENT)	452	1
BACHELOR OF SCIENCE (CROP IMPROVEMENT & PROTECTION)	422	1
BACHELOR OF SCIENCE (CROP PROTECTION)	421	2
BACHELOR OF SCIENCE (DAIRY TECHNOLOGY & MANAGEMENT)	345	1
BACHELOR OF SCIENCE (DISASTER MITIGATION AND SUSTAINABLE DEVELOPMENT)	744	1
BACHELOR OF SCIENCE (DISASTER PREPAREDNESS AND ENVIRONMENTALTECHNOLOGY)	844	1
BACHELOR OF SCIENCE (DISASTER RISK MANAGEMENT AND SUSTAINABLE DEVELOPMENT)	549	2
BACHELOR OF SCIENCE (DRY LAND, AGRICULTURE & ENTERPRISE DEVELOPMENT)	402	6
BACHELOR OF SCIENCE (DRYLAND ANIMAL SCIENCE)	501	1
BACHELOR OF SCIENCE (EARTH SCIENCE, WITH IT)	210	1
BACHELOR OF SCIENCE (ECO-TOURISM, HOTEL AND INSTITUTION MANAGEMENT, WITH IT)	223	6
BACHELOR OF SCIENCE (ECONOMICS & STATISTICS)	200	10
BACHELOR OF SCIENCE (ELECTRICAL & ELECTRONICS ENGINEERING)	117	10
BACHELOR OF SCIENCE (ELECTRICAL AND COMMUNICATION ENGINEERING)	246	2
BACHELOR OF SCIENCE (ELECTRONIC AND COMPUTER ENGINEERING)	350	3
BACHELOR OF SCIENCE (ELECTRONICS)	502	1
BACHELOR OF SCIENCE (EMERGENCY MANAGEMENT & HUMANITARIAN ASSISTANCE)	368	1
BACHELOR OF SCIENCE (ENERGY ENGINEERING)	185	1
BACHELOR OF SCIENCE (ENVIRONMENTAL CONSERVATION AND NATURAL RESOURCES MANAGEMENT)	186	3
BACHELOR OF SCIENCE (ENVIRONMENTAL EDUCATION)	570	1
BACHELOR OF SCIENCE (ENVIRONMENTAL HEALTH)	188	9
BACHELOR OF SCIENCE (ENVIRONMENTAL HORTICULTURE & LANDSCAPING TECHNOLOGY)	354	1
BACHELOR OF SCIENCE (ENVIRONMENTAL MANAGEMENT)	886	3
BACHELOR OF SCIENCE (EVENT AND CONVENTION MANAGEMENT)	473	1
BACHELOR OF SCIENCE (EXERCISE & SPORT SCIENCE)	434	1
BACHELOR OF SCIENCE (FINANCE)	539	1
BACHELOR OF SCIENCE (FINANCE)	541	3
BACHELOR OF SCIENCE (FINANCIAL ENGINEERING)	352	3
BACHELOR OF SCIENCE (FISHERIES & AQUATIC SCIENCES)	517	1
